filename	folder	source_name
category-accessory	A12_Totori	totori-category-accessory
category-bomb	A12_Totori	totori-category-bomb
category-bug	A12_Totori	totori-category-bug
category-cloth	A12_Totori	totori-category-cloth
category-cooking	A12_Totori	totori-category-cooking
category-dessert	A12_Totori	totori-category-dessert
category-elixir	A12_Totori	totori-category-elixir
category-fish	A12_Totori	totori-category-fish
category-fuel	A12_Totori	totori-category-fuel
category-gunpowder	A12_Totori	totori-category-gunpowder
category-healing	A12_Totori	totori-category-healing
category-ingot	A12_Totori	totori-category-ingot
category-jewel	A12_Totori	totori-category-jewel
category-key-item	A12_Totori	totori-category-key-item
category-liquid	A12_Totori	totori-category-liquid
category-lumber	A12_Totori	totori-category-lumber
category-magic-tool	A12_Totori	totori-category-magic-tool
category-meat	A12_Totori	totori-category-meat
category-medicine	A12_Totori	totori-category-medicine
category-mystery	A12_Totori	totori-category-mystery
category-ore	A12_Totori	totori-category-ore
category-pie	A12_Totori	totori-category-pie
category-plant	A12_Totori	totori-category-plant
category-poison	A12_Totori	totori-category-poison
category-seasoning	A12_Totori	totori-category-seasoning
category-spice	A12_Totori	totori-category-spice
category-sundry	A12_Totori	totori-category-sundry
category-supplement	A12_Totori	totori-category-supplement
category-threads	A12_Totori	totori-category-threads
category-vegetable	A12_Totori	totori-category-vegetable
accessory	A15_Escha_Logy	escha-accessory
armor	A15_Escha_Logy	escha-armor
bomb	A15_Escha_Logy	escha-bomb
weapon	A15_Escha_Logy	escha-weapon
synthesis	A22_Ryza2	ryza2-type-synthesis
