filename	folder	source_name
accessory	A15_Escha_Logy	escha-accessory
armor	A15_Escha_Logy	escha-armor
bomb	A15_Escha_Logy	escha-bomb
buff	A15_Escha_Logy	escha-buff
heal	A15_Escha_Logy	escha-heal
weapon	A15_Escha_Logy	escha-weapon
element-earth	A16_Shallie	earth
element-fire	A16_Shallie	fire
element-water	A16_Shallie	water
element-wind	A16_Shallie	wind
category-liquid	A15_Escha_Logy	escha-category-liquid
category-supplement	A16_Shallie	shallie-category-liquid
category-a-light-armor	A16_Shallie	shallie-category-a-light-armor
category-accessory	A16_Shallie	shallie-category-accessory
category-adventure	A16_Shallie	shallie-category-adventure
category-antique	A16_Shallie	shallie-category-antique
category-pelt	A16_Shallie	shallie-category-pelt
category-apple	A16_Shallie	shallie-category-apple
category-bee-hive	A16_Shallie	shallie-category-bee-hive
category-bomb	A16_Shallie	shallie-category-bomb
category-book	A16_Shallie	shallie-category-book
category-clay	A16_Shallie	shallie-category-clay
category-cloth	A16_Shallie	shallie-category-cloth
category-magic-tool	A16_Shallie	shallie-category-magic-tool
category-dragon-material	A16_Shallie	shallie-category-dragon-material
category-elixir	A16_Shallie	shallie-category-elixir
category-food	A16_Shallie	shallie-category-food
category-fuel	A16_Shallie	shallie-category-fuel
category-gas	A16_Shallie	shallie-category-gas
category-grain	A16_Shallie	shallie-category-grain
category-gunpowder	A16_Shallie	shallie-category-gunpowder
category-jewel	A16_Shallie	shallie-category-jewel
category-lumber	A16_Shallie	shallie-category-lumber
category-plant	A16_Shallie	shallie-category-plant
category-meat	A16_Shallie	shallie-category-meat
category-medicine	A16_Shallie	shallie-category-medicine
category-metal	A16_Shallie	shallie-category-metal
category-mystery	A16_Shallie	shallie-category-mystery
category-natural	A16_Shallie	shallie-category-natural
category-ore	A16_Shallie	shallie-category-ore
category-paper	A16_Shallie	shallie-category-paper
category-seasoning	A16_Shallie	shallie-category-seasoning
category-aroma	A16_Shallie	shallie-category-aroma
category-snack	A16_Shallie	shallie-category-snack
category-thread	A16_Shallie	shallie-category-thread
category-sundry	A16_Shallie	shallie-category-sundry
category-vegetable	A16_Shallie	shallie-category-vegetable
category-w-bell	A16_Shallie	shallie-category-w-bell
category-key-item	A16_Shallie	shallie-category-key-item
