filename	folder	source_name
element-earth	A16_Shallie	earth
element-fire	A16_Shallie	fire
element-water	A16_Shallie	water
element-wind	A16_Shallie	wind
category-a-light-armor	A16_Shallie	shallie-category-a-light-armor
category-accessory	A16_Shallie	shallie-category-accessory
category-adventure	A16_Shallie	shallie-category-adventure
category-ancient-power	A16_Shallie	shallie-category-ancient-power
category-ancient-relic	A16_Shallie	shallie-category-ancient-relic
category-animal	A16_Shallie	shallie-category-animal
category-antique	A16_Shallie	shallie-category-antique
category-apple	A16_Shallie	shallie-category-apple
category-aroma	A16_Shallie	shallie-category-aroma
category-bee-hive	A16_Shallie	shallie-category-bee-hive
category-bomb	A16_Shallie	shallie-category-bomb
category-book	A16_Shallie	shallie-category-book
category-clay	A16_Shallie	shallie-category-clay
category-cloth	A16_Shallie	shallie-category-cloth
category-dragon-material	A16_Shallie	shallie-category-dragon-material
category-elixir	A16_Shallie	shallie-category-elixir
category-fabric	A16_Shallie	shallie-category-fabric
category-feather	A16_Shallie	shallie-category-feather
category-fish	A16_Shallie	shallie-category-fish
category-food	A16_Shallie	shallie-category-food
category-fruit	A16_Shallie	shallie-category-fruit
category-fuel	A16_Shallie	shallie-category-fuel
category-gas	A16_Shallie	shallie-category-gas
category-grain	A16_Shallie	shallie-category-grain
category-gunpowder	A16_Shallie	shallie-category-gunpowder
category-ingot	A16_Shallie	shallie-category-ingot
category-jewel	A16_Shallie	shallie-category-jewel
category-key-item	A16_Shallie	shallie-category-key-item
category-liquid	A16_Shallie	shallie-category-liquid
category-lumber	A16_Shallie	shallie-category-lumber
category-magic-herb	A16_Shallie	shallie-category-magic-herb
category-magic-tool	A16_Shallie	shallie-category-magic-tool
category-meat	A16_Shallie	shallie-category-meat
category-medic-ing	A16_Shallie	shallie-category-medic-ing
category-medicine	A16_Shallie	shallie-category-medicine
category-metal	A16_Shallie	shallie-category-metal
category-mystery	A16_Shallie	shallie-category-mystery
category-natural	A16_Shallie	shallie-category-natural
category-oil	A16_Shallie	shallie-category-oil
category-ore	A16_Shallie	shallie-category-ore
category-paper	A16_Shallie	shallie-category-paper
category-pelt	A16_Shallie	shallie-category-pelt
category-plant	A16_Shallie	shallie-category-plant
category-poison	A16_Shallie	shallie-category-poison
category-sand	A16_Shallie	shallie-category-sand
category-seasoning	A16_Shallie	shallie-category-seasoning
category-slag-part	A16_Shallie	shallie-category-slag-part
category-snack	A16_Shallie	shallie-category-snack
category-sundry	A16_Shallie	shallie-category-sundry
category-supplement	A16_Shallie	shallie-category-supplement
category-synthesis	A16_Shallie	shallie-category-synthesis
category-thread	A16_Shallie	shallie-category-thread
category-vegetable	A16_Shallie	shallie-category-vegetable
category-w-bell	A16_Shallie	shallie-category-w-bell
category-water	A16_Shallie	shallie-category-water
category-wood	A16_Shallie	shallie-category-wood
race-alchemic	A16_Shallie	shallie-race-alchemic
race-animal	A16_Shallie	shallie-race-animal
race-beast	A16_Shallie	shallie-race-beast
race-dragon	A16_Shallie	shallie-race-dragon
race-elemental	A16_Shallie	shallie-race-elemental
race-humanoid	A16_Shallie	shallie-race-humanoid
race-rare-slag	A16_Shallie	shallie-race-rare-slag
race-slag	A16_Shallie	shallie-race-slag
accessory	A15_Escha_Logy	escha-accessory
armor	A15_Escha_Logy	escha-armor
bomb	A15_Escha_Logy	escha-bomb
heal	A15_Escha_Logy	escha-heal
weapon	A15_Escha_Logy	escha-weapon
