filename	folder	source_name
accessory	A18_Firis	firis-accessory
armor	A18_Firis	firis-armor
attack	A18_Firis	firis-attack
heal	A18_Firis	firis-heal
weapon	A18_Firis	firis-weapon
synthesis	A18_Firis	firis-synthesis
category-accessory	A18_Firis	firis-category-accessory
category-animal-mat	A18_Firis	firis-category-animal-mat
category-armor-mat	A18_Firis	firis-category-armor-mat
category-clay	A18_Firis	firis-category-clay
category-flower	A18_Firis	firis-category-flower
category-foodstuff	A18_Firis	firis-category-foodstuff
category-gunpowder	A18_Firis	firis-category-gunpowder
category-neutralizer	A18_Firis	firis-category-neutralizer
category-object	A18_Firis	firis-category-object
category-paper	A18_Firis	firis-category-paper
category-plant	A18_Firis	firis-category-plant
category-poison-mat	A18_Firis	firis-category-poison-mat
category-puniball	A18_Firis	firis-category-puniball
category-sand	A18_Firis	firis-category-sand
category-sweets	A18_Firis	firis-category-sweets
category-weapon-mat	A18_Firis	firis-category-weapon-mat
category-weapon	A18_Firis	firis-category-weapon
category-gathering-tool	A18_Firis	firis-gathering-tool
category-ore	A22_Ryza2	ryza2-category-ore
category-water	A22_Ryza2	ryza2-category-water
category-fuel	A22_Ryza2	ryza2-category-fuel
category-wood	A22_Ryza2	ryza2-category-lumber
category-gem	A22_Ryza2	ryza2-category-jewels
category-thread	A22_Ryza2	ryza2-category-threads
category-medicine-mat	A22_Ryza2	ryza2-category-medicinal
category-magic-item	A22_Ryza2	ryza2-category-magical
category-hidden-power	A22_Ryza2	ryza2-category-magic-tools
category-elixir	A22_Ryza2	ryza2-category-elixirs
category-cloth	A22_Ryza2	ryza2-category-cloth
category-bomb	A22_Ryza2	ryza2-category-bombs
category-medicine	A22_Ryza2	ryza2-category-medicine
category-metal	A22_Ryza2	ryza2-category-metal
category-food	A22_Ryza2	ryza2-category-food
category-armor	A16_Shallie	shallie-category-a-light-armor
category-seafood	A22_Ryza2	ryza2-category-seafood
category-important	A22_Ryza2	ryza2-category-key-items
category-catalyst	A23_Sophie2	sophie2-race-magical-creature
race-alchemic	A18_Firis	firis-race-alchemic
race-animal	A18_Firis	firis-race-animal
race-beast	A18_Firis	firis-race-beast
race-demon	A18_Firis	firis-race-demon
race-humanoid	A18_Firis	firis-race-humanoid
race-plant	A18_Firis	firis-race-plant
race-spirit	A18_Firis	firis-race-spirit
race-undead	A18_Firis	firis-race-undead
race-dragon	A23_Sophie2	sophie2-race-dragon
race-god	A23_Sophie2	sophie2-race-erde-wiege
race-magical	A23_Sophie2	sophie2-race-magical-creature
race-puni	A23_Sophie2	sophie2-race-puni
resist-ailment	A18_Firis	firis-resist-ailment
resist-fire	A18_Firis	firis-resist-fire
resist-ice	A18_Firis	firis-resist-ice
resist-impact	A18_Firis	firis-resist-impact
resist-lightning	A18_Firis	firis-resist-lightning
resist-magic	A18_Firis	firis-resist-magic
resist-pierce	A18_Firis	firis-resist-pierce
resist-slash	A18_Firis	firis-resist-slash
fa-quest	font-awesome	question-solid-full
fa-circle	font-awesome	circle-solid-full
fa-circle-dot	font-awesome	circle-dot-regular-full
fa-empty-circle	font-awesome	circle-regular-full
fa-minus	font-awesome	minus-solid-full
fa-empty-star	font-awesome	star-regular-full
fa-x	font-awesome	x-solid-full
book	A22_Ryza2	ryza2-book
