filename	folder	source_name
ice	A22_Ryza2	ryza2-ice
fire	A22_Ryza2	ryza2-fire
physical	A22_Ryza2	ryza2-physical
lightning	A22_Ryza2	ryza2-lightning
magic	A22_Ryza2	ryza2-magic
wind	A22_Ryza2	ryza2-wind
small-enemy	A22_Ryza2	ryza2-small-enemy
medium-enemy	A22_Ryza2	ryza2-medium-enemy
large-enemy	A22_Ryza2	ryza2-large-enemy
boss-enemy	A22_Ryza2	ryza2-boss-enemy
shop	A22_Ryza2	ryza2-shop
material	A22_Ryza2	ryza2-material
equipment	A22_Ryza2	ryza2-equipment
forge	A22_Ryza2	ryza2-forge
book	A22_Ryza2	ryza2-book
category-accessories	A22_Ryza2	ryza2-category-accessories
category-animal-products	A22_Ryza2	ryza2-category-animal-products
category-armor	A22_Ryza2	ryza2-category-armor
category-beehives	A22_Ryza2	ryza2-category-beehives
category-bombs	A22_Ryza2	ryza2-category-bombs
category-bugs	A22_Ryza2	ryza2-category-bugs
category-cloth	A22_Ryza2	ryza2-category-cloth
category-dragon-mat	A22_Ryza2	ryza2-category-dragon-mat
category-edibles	A22_Ryza2	ryza2-category-edibles
category-elixirs	A22_Ryza2	ryza2-category-elixirs
category-essence	A22_Ryza2	ryza2-category-essence
category-flowers	A22_Ryza2	ryza2-category-flowers
category-food	A22_Ryza2	ryza2-category-food
category-fruit	A22_Ryza2	ryza2-category-fruit
category-fuel	A22_Ryza2	ryza2-category-fuel
category-furniture	A22_Ryza2	ryza2-category-furniture
category-gases	A22_Ryza2	ryza2-category-gases
category-gemstones	A22_Ryza2	ryza2-category-gemstones
category-general-goods	A22_Ryza2	ryza2-category-general-goods
category-gunpowder	A22_Ryza2	ryza2-category-gunpowder
category-ingots	A22_Ryza2	ryza2-category-ingots
category-jewels	A22_Ryza2	ryza2-category-jewels
category-key-items	A22_Ryza2	ryza2-category-key-items
category-lumber	A22_Ryza2	ryza2-category-lumber
category-magic-tools	A22_Ryza2	ryza2-category-magic-tools
category-magical	A22_Ryza2	ryza2-category-magical
category-medicinal	A22_Ryza2	ryza2-category-medicinal
category-medicine	A22_Ryza2	ryza2-category-medicine
category-metal	A22_Ryza2	ryza2-category-metal
category-mushrooms	A22_Ryza2	ryza2-category-mushrooms
category-neutralizers	A22_Ryza2	ryza2-category-neutralizers
category-ore	A22_Ryza2	ryza2-category-ore
category-plants	A22_Ryza2	ryza2-category-plants
category-poisons	A22_Ryza2	ryza2-category-poisons
category-puniballs	A22_Ryza2	ryza2-category-puniballs
category-sand	A22_Ryza2	ryza2-category-sand
category-seafood	A22_Ryza2	ryza2-category-seafood
category-seeds	A22_Ryza2	ryza2-category-seeds
category-spices	A22_Ryza2	ryza2-category-spices
category-stone	A22_Ryza2	ryza2-category-stone
category-threads	A22_Ryza2	ryza2-category-threads
category-tools	A22_Ryza2	ryza2-category-tools
category-uni	A22_Ryza2	ryza2-category-uni
category-water	A22_Ryza2	ryza2-category-water
category-weapons	A22_Ryza2	ryza2-category-weapons
race-ancient-philuscha	A22_Ryza2	ryza2-race-ancient-philuscha
race-beetle	A22_Ryza2	ryza2-race-beetle
race-demon-beast	A22_Ryza2	ryza2-race-demon-beast
race-golem	A22_Ryza2	ryza2-race-golem
race-guardian	A22_Ryza2	ryza2-race-guardian
race-hedgehog	A22_Ryza2	ryza2-race-hedgehog
race-knight	A22_Ryza2	ryza2-race-knight
race-puni	A22_Ryza2	ryza2-race-puni
race-roadrunner	A22_Ryza2	ryza2-race-roadrunner
race-scorpion	A22_Ryza2	ryza2-race-scorpion
race-shark	A22_Ryza2	ryza2-race-shark
race-sheep	A22_Ryza2	ryza2-race-sheep
race-spirit	A22_Ryza2	ryza2-race-spirit
race-unknown2	A22_Ryza2	ryza2-race-unknown2
race-unknown3	A22_Ryza2	ryza2-race-unknown3
race-weasel-king	A22_Ryza2	ryza2-race-weasel-king
race-weasel	A22_Ryza2	ryza2-race-weasel
race-wyrm	A22_Ryza2	ryza2-race-wyrm
tool-axe	A22_Ryza2	ryza2-tool-axe
tool-bomb-rod	A22_Ryza2	ryza2-tool-bomb-rod
tool-bug-net	A22_Ryza2	ryza2-tool-bug-net
tool-fishing-rod	A22_Ryza2	ryza2-tool-fishing-rod
tool-gather	A22_Ryza2	ryza2-tool-gather
tool-hammer	A22_Ryza2	ryza2-tool-hammer
tool-sickle	A22_Ryza2	ryza2-tool-sickle
tool-staff	A22_Ryza2	ryza2-tool-staff
tool-water	A22_Ryza2	ryza2-tool-water
type-accessory	A22_Ryza2	ryza2-type-accessory
type-armor	A22_Ryza2	ryza2-type-armor
type-attack	A22_Ryza2	ryza2-type-attack
type-buff	A22_Ryza2	ryza2-type-buff
type-debuff	A22_Ryza2	ryza2-type-debuff
type-heal	A22_Ryza2	ryza2-type-heal
type-synthesis	A22_Ryza2	ryza2-type-synthesis
type-weapon	A22_Ryza2	ryza2-type-weapon
