filename	folder	source_name
category-catalysts	A23_Sophie2	sophie2-category-catalysts
category-seafood	A23_Sophie2	sophie2-category-seafood
category-spices	A23_Sophie2	sophie2-category-spices
category-talismans	A23_Sophie2	sophie2-category-talismans
category-water	A22_Ryza2	ryza2-category-water
category-plants	A22_Ryza2	ryza2-category-plants
category-uni	A22_Ryza2	ryza2-category-uni
category-flowers	A22_Ryza2	ryza2-category-flowers
category-medicinal	A22_Ryza2	ryza2-category-medicinal
category-poisons	A22_Ryza2	ryza2-category-poisons
category-elixirs	A22_Ryza2	ryza2-category-elixirs
category-sand	A22_Ryza2	ryza2-category-sand
category-stone	A22_Ryza2	ryza2-category-stone
category-ore	A22_Ryza2	ryza2-category-ore
category-gemstones	A22_Ryza2	ryza2-category-gemstones
category-gunpowder	A22_Ryza2	ryza2-category-gunpowder
category-fuel	A22_Ryza2	ryza2-category-fuel
category-edibles	A22_Ryza2	ryza2-category-edibles
category-fruit	A22_Ryza2	ryza2-category-fruit
category-beehives	A22_Ryza2	ryza2-category-beehives
category-mushrooms	A22_Ryza2	ryza2-category-mushrooms
category-bugs	A22_Ryza2	ryza2-category-bugs
category-threads	A22_Ryza2	ryza2-category-threads
category-lumber	A22_Ryza2	ryza2-category-lumber
category-gases	A22_Ryza2	ryza2-category-gases
category-magical	A22_Ryza2	ryza2-category-magical
category-puni	A22_Ryza2	ryza2-category-puniballs
category-animal-mat	A22_Ryza2	ryza2-category-animal-products
category-dragon-mat	A22_Ryza2	ryza2-category-dragon-mat
category-misc	A22_Ryza2	ryza2-category-neutralizers
category-general-goods	A22_Ryza2	ryza2-category-general-goods
category-ingots	A22_Ryza2	ryza2-category-ingots
category-cloth	A22_Ryza2	ryza2-category-cloth
category-metal	A22_Ryza2	ryza2-category-metal
category-jewels	A22_Ryza2	ryza2-category-jewels
category-seeds	A22_Ryza2	ryza2-category-seeds
category-bombs	A22_Ryza2	ryza2-category-bombs
category-medicine	A22_Ryza2	ryza2-category-medicine
category-food	A22_Ryza2	ryza2-category-food
category-magic-tools	A22_Ryza2	ryza2-category-magic-tools
category-weapons	A22_Ryza2	ryza2-category-weapons
category-armor	A22_Ryza2	ryza2-category-armor
category-accessories	A22_Ryza2	ryza2-category-accessories
category-tools	A22_Ryza2	ryza2-category-tools
category-key-items	A22_Ryza2	ryza2-category-key-items
element-fire	A23_Sophie2	sophie2-element-fire
element-ice	A23_Sophie2	sophie2-element-ice
element-light	A23_Sophie2	sophie2-element-light
element-lightning	A23_Sophie2	sophie2-element-lightning
element-magic	A23_Sophie2	sophie2-element-magic
element-wind	A23_Sophie2	sophie2-element-wind
element-physical	A22_Ryza2	ryza2-physical
race-puni	A23_Sophie2	sophie2-race-puni
race-ghost	A23_Sophie2	sophie2-race-ghost
race-bat	A23_Sophie2	sophie2-race-bat
race-rabbit	A23_Sophie2	sophie2-race-rabbit
race-mushroom	A23_Sophie2	sophie2-race-mushroom
race-small-groll	A23_Sophie2	sophie2-race-small-groll
race-jellyfish	A23_Sophie2	sophie2-race-jellyfish
race-bird	A23_Sophie2	sophie2-race-bird
race-apostle	A23_Sophie2	sophie2-race-apostle
race-dryad	A23_Sophie2	sophie2-race-dryad
race-medium-groll	A23_Sophie2	sophie2-race-medium-groll
race-golem	A23_Sophie2	sophie2-race-golem
race-dragonaire	A23_Sophie2	sophie2-race-dragonaire
race-sea-serpent	A23_Sophie2	sophie2-race-sea-serpent
race-dream-eater	A23_Sophie2	sophie2-race-dream-eater
race-elvira	A23_Sophie2	sophie2-race-elvira
race-apparition	A23_Sophie2	sophie2-race-apparition
race-beast	A23_Sophie2	sophie2-race-beast
race-dragon	A23_Sophie2	sophie2-race-dragon
race-erde-wiege	A23_Sophie2	sophie2-race-erde-wiege
race-magical-creature	A23_Sophie2	sophie2-race-magical-creature
race-plant	A23_Sophie2	sophie2-race-plant
tool-sickle	A22_Ryza2	ryza2-tool-sickle
tool-fishing-rod	A22_Ryza2	ryza2-tool-fishing-rod
tool-bug-net	A22_Ryza2	ryza2-tool-bug-net
tool-gather	A22_Ryza2	ryza2-tool-gather
tool-staff	A22_Ryza2	ryza2-tool-staff
tool-hammer	A23_Sophie2	sophie2-tool-hammer
tool-pickaxe	A23_Sophie2	sophie2-tool-pickaxe
tool-slingshot	A23_Sophie2	sophie2-tool-slingshot
type-synthesis	A22_Ryza2	ryza2-type-synthesis
type-attack	A22_Ryza2	ryza2-type-attack
type-heal	A22_Ryza2	ryza2-type-heal
type-debuff	A22_Ryza2	ryza2-type-debuff
type-buff	A22_Ryza2	ryza2-type-buff
type-weapon	A22_Ryza2	ryza2-type-weapon
type-armor	A22_Ryza2	ryza2-type-armor
type-accessory	A22_Ryza2	ryza2-type-accessory
type-exploration	A23_Sophie2	sophie2-type-exploration
book	A22_Ryza2	ryza2-book
fa-square	font-awesome	square-solid-full
fa-lightning	font-awesome	bolt-lightning-solid-full
fa-rain	font-awesome	droplet-solid-full
fa-snow	font-awesome	snowflake-solid-full
fa-sun	font-awesome	sun-solid-full
fa-square-plus	font-awesome	square-plus-solid-full
