filename	folder	source_name
fa-discord	font-awesome	discord-brands-solid-full
fa-github	font-awesome	github-brands-solid-full
fa-globe	font-awesome	globe-solid-full
fa-legal	font-awesome	scale-unbalanced-flip-solid-full
fa-donate	font-awesome	circle-dollar-to-slot-solid-full
fa-bars	font-awesome	bars-solid-full
fa-vertical-ellipsis	font-awesome	ellipsis-vertical-solid-full
fa-caret-up	font-awesome	caret-up-solid-full
fa-caret-down	font-awesome	caret-down-solid-full
fa-new-tab	font-awesome	arrow-up-right-from-square-solid-full
fa-chevron-down	font-awesome	chevron-down-solid-full
fa-chevron-up	font-awesome	chevron-up-solid-full
fa-location	font-awesome	location-dot-solid-full
fa-star	font-awesome	star-solid-full
fa-half-star	font-awesome	star-half-solid-full
fa-faq	font-awesome	circle-question-solid-full
fa-calendar	font-awesome	calendar-regular-full
fa-tag	font-awesome	tag-solid-full
fa-user	font-awesome	user-solid-full
fa-edit	font-awesome	pen-to-square-solid-full
fa-lock	font-awesome	lock-solid-full
fa-link	font-awesome	link-solid-full
fa-unlock	font-awesome	lock-open-solid-full
fa-wrench	font-awesome	wrench-solid-full
fa-comment	font-awesome	comment-solid-full
fa-file	font-awesome	file-solid-full
fa-arrow-down	font-awesome	arrow-down-solid-full
fa-arrow-left	font-awesome	arrow-left-solid-full
fa-arrow-right	font-awesome	arrow-right-solid-full
fa-arrow-up	font-awesome	arrow-up-solid-full
yumia	A26_Yumia	yumia
resleri-icon	A25_Resleriana	resleri-icon
ryza2-race-puni	A22_Ryza2	ryza2-race-puni
sophie2-race-elvira	A23_Sophie2	sophie2-race-elvira
shallie-race-slag	A16_Shallie	shallie-race-slag
totori-category-fish	A12_Totori	totori-category-fish
fa-school	font-awesome	school-solid-full
ryza2-category-bombs	A22_Ryza2	ryza2-category-bombs
ryza2-material	A22_Ryza2	ryza2-material
fa-book	font-awesome	book-solid-full
